2025-06-02 14:02:42 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-07-15 16:26:04 | bitcoin | Piercing Line | 0.91 | $116501.00 | Use discretion. Validate before trading.
2025-07-15 16:26:04 | ethereum | Marubozu | 0.90 | $3040.74 | Use discretion. Validate before trading.
2025-07-15 16:26:04 | solana | Marubozu | 0.90 | $160.68 | Use discretion. Validate before trading.
2025-07-15 16:26:35 | bitcoin | Piercing Line | 0.91 | $116501.00 | Use discretion. Validate before trading.
2025-07-15 16:26:35 | ethereum | Marubozu | 0.90 | $3040.74 | Use discretion. Validate before trading.
2025-07-15 16:26:35 | solana | Marubozu | 0.90 | $160.68 | Use discretion. Validate before trading.
2025-07-15 16:27:05 | bitcoin | Piercing Line | 0.91 | $116501.00 | Use discretion. Validate before trading.
2025-07-15 16:27:05 | solana | Marubozu | 0.90 | $160.68 | Use discretion. Validate before trading.
2025-07-15 16:27:36 | bitcoin | Piercing Line | 0.91 | $116501.00 | Use discretion. Validate before trading.
2025-07-15 16:27:36 | ethereum | Marubozu | 0.90 | $3040.74 | Use discretion. Validate before trading.
2025-07-15 16:27:36 | solana | Marubozu | 0.90 | $160.68 | Use discretion. Validate before trading.
2025-07-15 17:02:58 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:03:29 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:03:59 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:04:30 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:05:00 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:05:30 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:06:01 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:06:31 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:07:02 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:07:32 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:08:03 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:08:33 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:09:04 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:09:34 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:10:05 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:10:35 | ethereum | Three White Soldiers | 0.95 | $3048.43 | Use discretion. Validate before trading.
2025-07-15 17:11:05 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:11:36 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:12:06 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:12:37 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:13:07 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:13:38 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:14:08 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:14:39 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:15:09 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:15:39 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:17:15 | bitcoin | Three White Soldiers | 0.95 | $117449.00 | Use discretion. Validate before trading.
2025-07-15 17:17:15 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:20:48 | solana | Three White Soldiers | 0.95 | $161.19 | Use discretion. Validate before trading.
2025-07-15 17:22:19 | bitcoin | Three White Soldiers | 0.95 | $117449.00 | Use discretion. Validate before trading.
2025-07-15 17:22:19 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:25:52 | solana | Three White Soldiers | 0.95 | $161.19 | Use discretion. Validate before trading.
2025-07-15 17:27:24 | bitcoin | Three White Soldiers | 0.95 | $117449.00 | Use discretion. Validate before trading.
2025-07-15 17:27:24 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:30:57 | solana | Three White Soldiers | 0.95 | $161.19 | Use discretion. Validate before trading.
2025-07-15 17:32:28 | bitcoin | Three White Soldiers | 0.95 | $117449.00 | Use discretion. Validate before trading.
2025-07-15 17:32:28 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:36:01 | solana | Three White Soldiers | 0.95 | $161.19 | Use discretion. Validate before trading.
2025-07-15 17:37:33 | bitcoin | Three White Soldiers | 0.95 | $117449.00 | Use discretion. Validate before trading.
2025-07-15 17:37:33 | ethereum | Three White Soldiers | 0.95 | $3058.30 | Use discretion. Validate before trading.
2025-07-15 17:41:06 | solana | Three White Soldiers | 0.95 | $161.19 | Use discretion. Validate before trading.
2025-07-15 17:42:37 | bitcoin | Three White Soldiers | 0.95 | $117449.00 | Use discretion. Validate before trading.
2025-07-15 17:46:10 | solana | Three White Soldiers | 0.95 | $161.19 | Use discretion. Validate before trading.
2025-07-15 18:04:02 | ethereum | Marubozu | 0.90 | $3091.75 | Use discretion. Validate before trading.
2025-07-15 18:04:02 | solana | Three White Soldiers | 0.95 | $161.37 | Use discretion. Validate before trading.
2025-07-15 20:14:27 | bitcoin | Marubozu | 0.90 | $116975.00 | Use discretion. Validate before trading.
2025-07-15 20:14:27 | ethereum | Marubozu | 0.90 | $3041.61 | Use discretion. Validate before trading.
2025-07-15 20:14:27 | solana | Marubozu | 0.90 | $160.29 | Use discretion. Validate before trading.
